id,location_code,holiday_date,holiday_name,holiday_desc,lang_code,is_active,cr_by,cr_dtimes
2000001,KTA,1/1/2019,New Year's Day,National Holiday,eng,TRUE,superadmin,now()
2000002,KTA,1/11/2019,Anniversary of the Independence Manifesto,National Holiday,eng,TRUE,superadmin,now()
2000003,KTA,5/1/2019,Labour Day/May Day,National Holiday,eng,TRUE,superadmin,now()
2000004,KTA,6/5/2019,Eid al-Fitr,National Holiday,eng,TRUE,superadmin,now()
2000005,KTA,7/30/2019,Feast of the Throne,National Holiday,eng,TRUE,superadmin,now()
2000006,KTA,8/12/2019,Eid al-Adha,National Holiday,eng,TRUE,superadmin,now()
2000007,KTA,8/14/2019,Anniversary of the Recovery Oued Ed-Dahab,National Holiday,eng,TRUE,superadmin,now()
2000008,KTA,8/20/2019,Anniversary of the Revolution of the King and the People,National Holiday,eng,TRUE,superadmin,now()
2000009,KTA,8/21/2019,Youth Day,National Holiday,eng,TRUE,superadmin,now()
2000010,KTA,9/1/2019,Hijra New Year,National Holiday,eng,TRUE,superadmin,now()
2000011,KTA,11/6/2019,Anniversary of the Green March,National Holiday,eng,TRUE,superadmin,now()
2000012,KTA,11/10/2019,The Prophet Muhammad's Birthday,National Holiday,eng,TRUE,superadmin,now()
2000013,KTA,11/18/2019,Independence Day,National Holiday,eng,TRUE,superadmin,now()
2000001,RBT,1/1/2019,New Year's Day,National Holiday,eng,TRUE,superadmin,now()
2000002,RBT,1/11/2019,Anniversary of the Independence Manifesto,National Holiday,eng,TRUE,superadmin,now()
2000003,RBT,5/1/2019,Labour Day/May Day,National Holiday,eng,TRUE,superadmin,now()
2000004,RBT,6/5/2019,Eid al-Fitr,National Holiday,eng,TRUE,superadmin,now()
2000005,RBT,7/30/2019,Feast of the Throne,National Holiday,eng,TRUE,superadmin,now()
2000006,RBT,8/12/2019,Eid al-Adha,National Holiday,eng,TRUE,superadmin,now()
2000007,RBT,8/14/2019,Anniversary of the Recovery Oued Ed-Dahab,National Holiday,eng,TRUE,superadmin,now()
2000008,RBT,8/20/2019,Anniversary of the Revolution of the King and the People,National Holiday,eng,TRUE,superadmin,now()
2000010,RBT,9/1/2019,Hijra New Year,National Holiday,eng,TRUE,superadmin,now()
2000012,RBT,11/10/2019,The Prophet Muhammad's Birthday,National Holiday,eng,TRUE,superadmin,now()
2000013,RBT,11/18/2019,Independence Day,National Holiday,eng,TRUE,superadmin,now()
2000001,KTA,1/1/2019,الميلادية رأس السنة,عيد وطني,ara,TRUE,superadmin,now()
2000002,KTA,1/11/2019,الذكرى السنوية لإعلان الاستقلال,عيد وطني,ara,TRUE,superadmin,now()
2000003,KTA,5/1/2019,عيد العمال/مايو يوم,عيد وطني,ara,TRUE,superadmin,now()
2000004,KTA,6/5/2019,عيد الفطر المبارك,عيد وطني,ara,TRUE,superadmin,now()
2000005,KTA,7/30/2019,عيد العرش,عيد وطني,ara,TRUE,superadmin,now()
2000006,KTA,8/12/2019,عيد الأضحى,عيد وطني,ara,TRUE,superadmin,now()
2000007,KTA,8/14/2019,الذكرى السنوية لاستعادة واد اد-دهب,عيد وطني,ara,TRUE,superadmin,now()
2000008,KTA,8/20/2019,الذكرى السنوية لثورة الملك والشعب,عيد وطني,ara,TRUE,superadmin,now()
2000009,KTA,8/21/2019,يوم الشباب,عيد وطني,ara,TRUE,superadmin,now()
2000010,KTA,9/1/2019,العام الهجري الجديد,عيد وطني,ara,TRUE,superadmin,now()
2000011,KTA,11/6/2019,الذكرى للمسيرة الخضراء,عيد وطني,ara,TRUE,superadmin,now()
2000012,KTA,11/10/2019,عيد ميلاد النبي محمد,عيد وطني,ara,TRUE,superadmin,now()
2000013,KTA,11/18/2019,يوم الاستقلال,عيد وطني,ara,TRUE,superadmin,now()
2000001,RBT,1/1/2019,الميلادية رأس السنة,عيد وطني,ara,TRUE,superadmin,now()
2000002,RBT,1/11/2019,الذكرى السنوية لإعلان الاستقلال,عيد وطني,ara,TRUE,superadmin,now()
2000003,RBT,5/1/2019,عيد العمال/مايو يوم,عيد وطني,ara,TRUE,superadmin,now()
2000004,RBT,6/5/2019,عيد الفطر المبارك,عيد وطني,ara,TRUE,superadmin,now()
2000005,RBT,7/30/2019,عيد العرش,عيد وطني,ara,TRUE,superadmin,now()
2000006,RBT,8/12/2019,عيد الأضحى,عيد وطني,ara,TRUE,superadmin,now()
2000007,RBT,8/14/2019,الذكرى السنوية لاستعادة واد اد-دهب,عيد وطني,ara,TRUE,superadmin,now()
2000008,RBT,8/20/2019,الذكرى السنوية لثورة الملك والشعب,عيد وطني,ara,TRUE,superadmin,now()
2000010,RBT,9/1/2019,العام الهجري الجديد,عيد وطني,ara,TRUE,superadmin,now()
2000012,RBT,11/10/2019,عيد ميلاد النبي محمد,عيد وطني,ara,TRUE,superadmin,now()
2000013,RBT,11/18/2019,يوم الاستقلال,عيد وطني,ara,TRUE,superadmin,now()
2000001,KTA,1/1/2019,Jour de l’an,Fête nationale,fra,TRUE,superadmin,now()
2000002,KTA,1/11/2019,Anniversaire du manifeste de l’indépendance,Fête nationale,fra,TRUE,superadmin,now()
2000003,KTA,5/1/2019,Fête du travail / May Day,Fête nationale,fra,TRUE,superadmin,now()
2000004,KTA,6/5/2019,Eid al-Fitr,Fête nationale,fra,TRUE,superadmin,now()
2000005,KTA,7/30/2019,Fête du trône,Fête nationale,fra,TRUE,superadmin,now()
2000006,KTA,8/12/2019,Aïd al-Adha,Fête nationale,fra,TRUE,superadmin,now()
2000007,KTA,8/14/2019,Anniversaire de la récupération de Oued Ed-Dahab,Fête nationale,fra,TRUE,superadmin,now()
2000008,KTA,8/20/2019,Anniversaire de la révolution du roi et le peuple,Fête nationale,fra,TRUE,superadmin,now()
2000009,KTA,8/21/2019,Journée de la jeunesse,Fête nationale,fra,TRUE,superadmin,now()
2000010,KTA,9/1/2019,Hégire nouvel an,Fête nationale,fra,TRUE,superadmin,now()
2000011,KTA,11/6/2019,Anniversaire de la marche verte,Fête nationale,fra,TRUE,superadmin,now()
2000012,KTA,11/10/2019,Anniversaire de Mohammed,Fête nationale,fra,TRUE,superadmin,now()
2000013,KTA,11/18/2019,Fête de l’indépendance,Fête nationale,fra,TRUE,superadmin,now()
2000001,RBT,1/1/2019,Jour de l’an,Fête nationale,fra,TRUE,superadmin,now()
2000002,RBT,1/11/2019,Anniversaire du manifeste de l’indépendance,Fête nationale,fra,TRUE,superadmin,now()
2000003,RBT,5/1/2019,Fête du travail / May Day,Fête nationale,fra,TRUE,superadmin,now()
2000004,RBT,6/5/2019,Eid al-Fitr,Fête nationale,fra,TRUE,superadmin,now()
2000005,RBT,7/30/2019,Fête du trône,Fête nationale,fra,TRUE,superadmin,now()
2000006,RBT,8/12/2019,Aïd al-Adha,Fête nationale,fra,TRUE,superadmin,now()
2000007,RBT,8/14/2019,Anniversaire de la récupération de Oued Ed-Dahab,Fête nationale,fra,TRUE,superadmin,now()
2000008,RBT,8/20/2019,Anniversaire de la révolution du roi et le peuple,Fête nationale,fra,TRUE,superadmin,now()
2000010,RBT,9/1/2019,Hégire nouvel an,Fête nationale,fra,TRUE,superadmin,now()
2000012,RBT,11/10/2019,Anniversaire de Mohammed,Fête nationale,fra,TRUE,superadmin,now()
2000013,RBT,11/18/2019,Fête de l’indépendance,Fête nationale,fra,TRUE,superadmin,now()
2000014,KTA,6/22/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000015,KTA,6/23/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000016,KTA,6/29/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000017,KTA,6/30/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000018,KTA,7/6/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000019,KTA,7/7/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000020,KTA,7/13/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000021,KTA,7/14/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000022,KTA,7/20/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000023,KTA,7/21/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000024,KTA,7/27/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000025,KTA,7/28/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000026,KTA,8/3/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000027,KTA,8/4/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000028,KTA,8/10/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000029,KTA,8/11/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000030,KTA,8/17/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000031,KTA,8/18/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000032,KTA,8/24/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000033,KTA,8/25/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000034,KTA,8/31/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000035,KTA,9/1/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000036,KTA,9/7/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000037,KTA,9/8/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000038,KTA,9/14/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000039,KTA,9/15/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000040,KTA,9/21/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000041,KTA,9/22/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000042,KTA,9/28/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000043,KTA,9/29/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000044,KTA,10/5/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000045,KTA,10/6/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000046,KTA,10/12/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000047,KTA,10/13/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000048,KTA,10/19/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000049,KTA,10/20/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000050,KTA,10/26/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000051,KTA,10/27/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000052,KTA,11/2/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000053,KTA,11/3/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000054,KTA,11/9/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000055,KTA,11/10/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000056,KTA,11/16/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000057,KTA,11/17/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000058,KTA,11/23/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000059,KTA,11/24/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000060,KTA,11/30/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000061,KTA,12/1/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000062,KTA,12/7/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000063,KTA,12/8/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000064,KTA,12/14/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000065,KTA,12/15/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000066,KTA,12/21/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000067,KTA,12/22/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000068,KTA,12/28/2019,Saturday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000069,KTA,12/29/2019,Sunday - Weekend,Weekend,eng,TRUE,superadmin,now()
2000014,KTA,6/22/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000015,KTA,6/23/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000016,KTA,6/29/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000017,KTA,6/30/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000018,KTA,7/6/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000019,KTA,7/7/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000020,KTA,7/13/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000021,KTA,7/14/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000022,KTA,7/20/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000023,KTA,7/21/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000024,KTA,7/27/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000025,KTA,7/28/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000026,KTA,8/3/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000027,KTA,8/4/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000028,KTA,8/10/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000029,KTA,8/11/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000030,KTA,8/17/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000031,KTA,8/18/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000032,KTA,8/24/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000033,KTA,8/25/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000034,KTA,8/31/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000035,KTA,9/1/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000036,KTA,9/7/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000037,KTA,9/8/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000038,KTA,9/14/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000039,KTA,9/15/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000040,KTA,9/21/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000041,KTA,9/22/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000042,KTA,9/28/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000043,KTA,9/29/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000044,KTA,10/5/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000045,KTA,10/6/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000046,KTA,10/12/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000047,KTA,10/13/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000048,KTA,10/19/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000049,KTA,10/20/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000050,KTA,10/26/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000051,KTA,10/27/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000052,KTA,11/2/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000053,KTA,11/3/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000054,KTA,11/9/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000055,KTA,11/10/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000056,KTA,11/16/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000057,KTA,11/17/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000058,KTA,11/23/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000059,KTA,11/24/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000060,KTA,11/30/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000061,KTA,12/1/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000062,KTA,12/7/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000063,KTA,12/8/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000064,KTA,12/14/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000065,KTA,12/15/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000066,KTA,12/21/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000067,KTA,12/22/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000068,KTA,12/28/2019,السبت - عطلة نهاية الاسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000069,KTA,12/29/2019,الأحد - عطلة نهاية الأسبوع,عطلة نهاية الاسبوع,ara,TRUE,superadmin,now()
2000014,KTA,6/22/2019,Samedi - fin de semaine,Weekend,fra,TRUE,superadmin,now()
2000015,KTA,6/23/2019,Dimanche - fin de semaine,Weekend,fra,TRUE,superadmin,now()
2000016,KTA,6/29/2019,Samedi - fin de semaine,Weekend,fra,TRUE,superadmin,now()
2000017,KTA,6/30/2019,Dimanche - fin de semaine,Weekend,fra,TRUE,superadmin,now()
2000018,KTA,7/6/2019,Samedi - fin de semaine,Weekend,fra,TRUE,superadmin,now()
2000019,KTA,7/7/2019,Dimanche - fin de semaine,Weekend,fra,TRUE,superadmin,now()
2000020,KTA,7/13/2019,Samedi - fin de semaine,Weekend,fra,TRUE,superadmin,now()
2000021,KTA,7/14/2019,Dimanche - fin de semaine,Weekend,fra,TRUE,superadmin,now()
2000022,KTA,7/20/2019,Samedi - fin de semaine,Weekend,fra,TRUE,superadmin,now()
2000023,KTA,7/21/2019,Dimanche - fin de semaine,Weekend,fra,TRUE,superadmin,now()
2000024,KTA,7/27/2019,Samedi - fin de semaine,Weekend,fra,TRUE,superadmin,now()
2000025,KTA,7/28/2019,Dimanche - fin de semaine,Weekend,fra,TRUE,superadmin,now()
2000026,KTA,8/3/2019,Samedi - fin de semaine,Weekend,fra,TRUE,superadmin,now()
2000027,KTA,8/4/2019,Dimanche - fin de semaine,Weekend,fra,TRUE,superadmin,now()
2000028,KTA,8/10/2019,Samedi - fin de semaine,Weekend,fra,TRUE,superadmin,now()
2000029,KTA,8/11/2019,Dimanche - fin de semaine,Weekend,fra,TRUE,superadmin,now()
2000030,KTA,8/17/2019,Samedi - fin de semaine,Weekend,fra,TRUE,superadmin,now()
