code,name,hierarchy_level,hierarchy_level_name,parent_loc_code,lang_code,is_active,cr_by,cr_dtimes
MOR,MyCountry,0,Country,,eng,TRUE,superadmin,now()
MOR,الْـمَغْرِبُ,0,بلد,,ara,TRUE,superadmin,now()
MOR,Maroc,0,Pays,,fra,TRUE,superadmin,now()
RSK,Rabat Sale Kenitra,1,Region,MOR,eng,TRUE,superadmin,now()
RSK,جهة الرباط سلا القنيطرة,1,منطقة,MOR,ara,TRUE,superadmin,now()
RSK,Rabat-Salé-Kénitra,1,Région,MOR,fra,TRUE,superadmin,now()
KTA,Kenitra,2,Province,RSK,eng,TRUE,superadmin,now()
KTA,القنيطرة,2,المحافظة,RSK,ara,TRUE,superadmin,now()
KTA,Kénitra,2,Province,RSK,fra,TRUE,superadmin,now()
KNT,Kenitra,3,City,KTA,eng,TRUE,superadmin,now()
KNT,القنيطرة,3,مدينة,KTA,ara,TRUE,superadmin,now()
KNT,Kénitra,3,Ville,KTA,fra,TRUE,superadmin,now()
BNMR,Ben Mansour,4,Zone,KNT,eng,TRUE,superadmin,now()
BNMR,بن منصور,4,منطقة,KNT,ara,TRUE,superadmin,now()
BNMR,Ben Mansour,4,Zone,KNT,fra,TRUE,superadmin,now()
14022,14022,5,Postal Code,BNMR,eng,TRUE,superadmin,now()
14022,14022,5,الرمز البريدي,BNMR,ara,TRUE,superadmin,now()
14022,14022,5,code postal,BNMR,fra,TRUE,superadmin,now()
MNAS,Mnasra,4,Zone,KNT,eng,TRUE,superadmin,now()
MNAS,منَسرَ,4,منطقة,KNT,ara,TRUE,superadmin,now()
MNAS,Mnasra,4,Zone,KNT,fra,TRUE,superadmin,now()
14053,14053,5,Postal Code,MNAS,eng,TRUE,superadmin,now()
14053,14053,5,الرمز البريدي,MNAS,ara,TRUE,superadmin,now()
14053,14053,5,code postal,MNAS,fra,TRUE,superadmin,now()
MOGR,Mograne,4,Zone,KNT,eng,TRUE,superadmin,now()
MOGR,مڭرن,4,منطقة,KNT,ara,TRUE,superadmin,now()
MOGR,Mograne,4,Zone,KNT,fra,TRUE,superadmin,now()
14023,14023,5,Postal Code,MOGR,eng,TRUE,superadmin,now()
14023,14023,5,الرمز البريدي,MOGR,ara,TRUE,superadmin,now()
14023,14023,5,code postal,MOGR,fra,TRUE,superadmin,now()
ASSM,Assam,4,Zone,KNT,eng,TRUE,superadmin,now()
ASSM,العصام,4,منطقة,KNT,ara,TRUE,superadmin,now()
ASSM,Assam,4,Zone,KNT,fra,TRUE,superadmin,now()
14000,14000,5,Postal Code,ASSM,eng,TRUE,superadmin,now()
14000,14000,5,الرمز البريدي,ASSM,ara,TRUE,superadmin,now()
14000,14000,5,code postal,ASSM,fra,TRUE,superadmin,now()
MEHD,Mehdia,4,Zone,KNT,eng,TRUE,superadmin,now()
MEHD,مهدية,4,منطقة,KNT,ara,TRUE,superadmin,now()
MEHD,Mehdia,4,Zone,KNT,fra,TRUE,superadmin,now()
14110,14110,5,Postal Code,MEHD,eng,TRUE,superadmin,now()
14110,14110,5,الرمز البريدي,MEHD,ara,TRUE,superadmin,now()
14110,14110,5,code postal,MEHD,fra,TRUE,superadmin,now()
OLOJ,Ouled Oujih,4,Zone,KNT,eng,TRUE,superadmin,now()
OLOJ,اولاد اوجيه,4,منطقة,KNT,ara,TRUE,superadmin,now()
OLOJ,Ouled Oujih,4,Zone,KNT,fra,TRUE,superadmin,now()
14080,14080,5,Postal Code,OLOJ,eng,TRUE,superadmin,now()
14080,14080,5,الرمز البريدي,OLOJ,ara,TRUE,superadmin,now()
14080,14080,5,code postal,OLOJ,fra,TRUE,superadmin,now()
SDTB,Sidi Taibi,4,Zone,KNT,eng,TRUE,superadmin,now()
SDTB,سيدي الطيبي,4,منطقة,KNT,ara,TRUE,superadmin,now()
SDTB,Sidi Taibi,4,Zone,KNT,fra,TRUE,superadmin,now()
14025,14025,5,Postal Code,SDTB,eng,TRUE,superadmin,now()
14025,14025,5,الرمز البريدي,SDTB,ara,TRUE,superadmin,now()
14025,14025,5,code postal,SDTB,fra,TRUE,superadmin,now()
SATZ,Sidi Allal Tazi,4,Zone,KNT,eng,TRUE,superadmin,now()
SATZ,علال التازي,4,منطقة,KNT,ara,TRUE,superadmin,now()
SATZ,Sidi Allal Tazi,4,Zone,KNT,fra,TRUE,superadmin,now()
14050,14050,5,Postal Code,SATZ,eng,TRUE,superadmin,now()
14050,14050,5,الرمز البريدي,SATZ,ara,TRUE,superadmin,now()
14050,14050,5,code postal,SATZ,fra,TRUE,superadmin,now()
RBT,Rabat,2,Province,RSK,eng,TRUE,superadmin,now()
RBT,الرباط,2,المحافظة,RSK,ara,TRUE,superadmin,now()
RBT,Rabat,2,Province,RSK,fra,TRUE,superadmin,now()
RAB,Rabat,3,City,RBT,eng,TRUE,superadmin,now()
RAB,الرباط,3,مدينة,RBT,ara,TRUE,superadmin,now()
RAB,Rabat,3,Ville,RBT,fra,TRUE,superadmin,now()
AGDL,Agdal,4,Zone,RAB,eng,TRUE,superadmin,now()
AGDL,أكدال,4,منطقة,RAB,ara,TRUE,superadmin,now()
AGDL,Agdal,4,Zone,RAB,fra,TRUE,superadmin,now()
10106,10106,5,Postal Code,AGDL,eng,TRUE,superadmin,now()
10106,10106,5,الرمز البريدي,AGDL,ara,TRUE,superadmin,now()
10106,10106,5,code postal,AGDL,fra,TRUE,superadmin,now()
QRHS,Quartier Hassan,4,Zone,RAB,eng,TRUE,superadmin,now()
QRHS,حي حسان,4,منطقة,RAB,ara,TRUE,superadmin,now()
QRHS,Quartier Hassan,4,Zone,RAB,fra,TRUE,superadmin,now()
10000,10000,5,Postal Code,QRHS,eng,TRUE,superadmin,now()
10000,10000,5,الرمز البريدي,QRHS,ara,TRUE,superadmin,now()
10000,10000,5,code postal,QRHS,fra,TRUE,superadmin,now()
SOUS,Souissi,4,Zone,RAB,eng,TRUE,superadmin,now()
SOUS,السويسي,4,منطقة,RAB,ara,TRUE,superadmin,now()
SOUS,Souissi,4,Zone,RAB,fra,TRUE,superadmin,now()
10105,10105,5,Postal Code,SOUS,eng,TRUE,superadmin,now()
10105,10105,5,الرمز البريدي,SOUS,ara,TRUE,superadmin,now()
10105,10105,5,code postal,SOUS,fra,TRUE,superadmin,now()
MADI,Madinat Al Irfane,4,Zone,RAB,eng,TRUE,superadmin,now()
MADI,مدينة العرفان,4,منطقة,RAB,ara,TRUE,superadmin,now()
MADI,Madinat Al Irfane,4,Zone,RAB,fra,TRUE,superadmin,now()
10112,10112,5,Postal Code,MADI,eng,TRUE,superadmin,now()
10112,10112,5,الرمز البريدي,MADI,ara,TRUE,superadmin,now()
10112,10112,5,code postal,MADI,fra,TRUE,superadmin,now()
HARD,Hay Riad,4,Zone,RAB,eng,TRUE,superadmin,now()
HARD,حي الرياض,4,منطقة,RAB,ara,TRUE,superadmin,now()
HARD,Hay Riad,4,Zone,RAB,fra,TRUE,superadmin,now()
10104,10104,5,Postal Code,HARD,eng,TRUE,superadmin,now()
10104,10104,5,الرمز البريدي,HARD,ara,TRUE,superadmin,now()
10104,10104,5,code postal,HARD,fra,TRUE,superadmin,now()
MDDR,Medina de Rabat,4,Zone,RAB,eng,TRUE,superadmin,now()
MDDR,مدينة,4,منطقة,RAB,ara,TRUE,superadmin,now()
MDDR,Médina de Rabat,4,Zone,RAB,fra,TRUE,superadmin,now()
10036,10036,5,Postal Code,MDDR,eng,TRUE,superadmin,now()
10036,10036,5,الرمز البريدي,MDDR,ara,TRUE,superadmin,now()
10036,10036,5,code postal,MDDR,fra,TRUE,superadmin,now()
ELYF,EL YOUSSOUFIA,4,Zone,RAB,eng,TRUE,superadmin,now()
ELYF,اليوسفية,4,منطقة,RAB,ara,TRUE,superadmin,now()
ELYF,EL YOUSSOUFIA,4,Zone,RAB,fra,TRUE,superadmin,now()
10190,10190,5,Postal Code,ELYF,eng,TRUE,superadmin,now()
10190,10190,5,الرمز البريدي,ELYF,ara,TRUE,superadmin,now()
10190,10190,5,code postal,ELYF,fra,TRUE,superadmin,now()
10110,10110,5,Postal Code,BNMR,eng,TRUE,superadmin,now()
10111,10111,5,Postal Code,BNMR,eng,TRUE,superadmin,now()
10113,10113,5,Postal Code,BNMR,eng,TRUE,superadmin,now()
10114,10114,5,Postal Code,BNMR,eng,TRUE,superadmin,now()
10111,10111,5,code postal,BNMR,fra,TRUE,superadmin,now()
10110,10110,5,code postal,BNMR,fra,TRUE,superadmin,now()
10113,10113,5,code postal,BNMR,fra,TRUE,superadmin,now()
10114,10114,5,code postal,BNMR,fra,TRUE,superadmin,now()
10111,10111,5,الرمز البريدي,BNMR,ara,TRUE,superadmin,now()
10110,10110,5,الرمز البريدي,BNMR,ara,TRUE,superadmin,now()
10113,10113,5,الرمز البريدي,BNMR,ara,TRUE,superadmin,now()
10114,10114,5,الرمز البريدي,BNMR,ara,TRUE,superadmin,now()
