id,name,mac_address,serial_num,ip_address,mspec_id,zone_code,lang_code,is_active,cr_by,cr_dtimes
10050,A2ML30641,8C-16-45-FA-99-6C,FB5962911683,192.168.0.376,1001,ORT,fra,TRUE,superadmin,now()
10051,TECHNO-236,D8-9C-67-57-8F-75,FB5962911684,192.168.0.377,1001,ORT,fra,TRUE,superadmin,now()
10052,A2ML29918,E8-6A-64-1C-52-98,FB5962911685,192.168.0.378,1001,ORT,fra,TRUE,superadmin,now()
10053,A2ML22793,40-B0-34-F1-5E-58,FB5962911686,192.168.0.379,1001,ORT,fra,TRUE,superadmin,now()
10054,A2ML30524,48-A4-72-9B-08-92,FB5962911687,192.168.0.380,1001,ORT,fra,TRUE,superadmin,now()
10055,b2ml25727,8C-16-45-1A-0F-62,FB5962911688,192.168.0.381,1001,NTH,fra,TRUE,superadmin,now()
10056,b2ml20071,98-E7-F4-30-16-5A,FB5962911689,192.168.0.382,1001,NTH,fra,TRUE,superadmin,now()
10057,A2ML29516,38-BA-F8-7D-67-89,FB5962911690,192.168.0.383,1001,NTH,fra,TRUE,superadmin,now()
10058,A2ML29424,8C-16-45-FA-95-5F,FB5962911691,192.168.0.384,1001,NTH,fra,TRUE,superadmin,now()
10059,DESKTOP-7P9OG73,C4-65-16-A6-9A-5D,FB5962911681,192.168.0.385,1001,STH,fra,TRUE,superadmin,now()
10060,DESKTOP-L1P84KT,C4-65-16-A6-9A-D6,FB5962911682,192.168.0.386,1001,STH,fra,TRUE,superadmin,now()
10061,DESKTOP-2MJPO3R,C4-65-16-A3-9B-92,FB5962911683,192.168.0.387,1001,STH,fra,TRUE,superadmin,now()
10062,DESKTOP-A2MM8AQ,B8-AC-6F-DA-4C-5B,FB5962911684,192.168.0.388,1001,STH,fra,TRUE,superadmin,now()
10063,Security-test3,00-0D-3A-F2-C6-FF,FB5962911685,192.168.0.389,1001,STH,fra,TRUE,superadmin,now()
10064,MOSIP-Security,00-0D-3A-F2-B4-8A,FB5962911686,192.168.0.390,1001,STH,fra,TRUE,superadmin,now()
10065,Techno-260,3C-18-A0-76-38-4F,FB5962911687,192.168.0.391,1001,STH,fra,TRUE,superadmin,now()
10066,MOSIP-Security2,00-0D-3A-F2-CB-29,FB5962911688,192.168.0.392,1001,STH,fra,TRUE,superadmin,now()
10067,b2md20452,D4-3D-7E-C0-8C-4A,FB5962911689,192.168.0.393,1001,STH,fra,TRUE,superadmin,now()
10068,DESKTOP-TB65MJM,34-17-EB-88-AB-37,FB5962911690,192.168.0.394,1001,STH,fra,TRUE,superadmin,now()
10069,A2ML19105,70-5A-0F-84-40-A2,FB5962911691,192.168.0.395,1001,STH,fra,TRUE,superadmin,now()
10070,A2ML28933,8C-16-45-FA-94-41,FB5962911681,192.168.0.396,1001,STH,fra,TRUE,superadmin,now()
10071,A2ML21970,C8-D3-FF-75-E1-8B,FB5962911682,192.168.0.397,1001,STH,fra,TRUE,superadmin,now()
10072,techno-244,54-BF-64-23-67-46,FB5962911683,192.168.0.398,1001,NTH,fra,TRUE,superadmin,now()
10073,Techno-197,28-F1-0E-47-FF-B9,FB5962911684,192.168.0.399,1001,NTH,fra,TRUE,superadmin,now()
10074,techno-236,3C-2C-30-B4-00-C0,FB5962911685,192.168.0.400,1001,NTH,fra,TRUE,superadmin,now()
10075,Techno-251,3C-2C-30-D1-E9-C4,FB5962911686,192.168.0.401,1001,NTH,fra,TRUE,superadmin,now()
10076,Techno-200,00-09-0F-FE-00-01,FB5962911687,192.168.0.402,1001,NTH,fra,TRUE,superadmin,now()
10077,Techno-252,0C-96-E6-40-76-9A,FB5962911688,192.168.0.403,1001,NTH,fra,TRUE,superadmin,now()
10078,Techno-242,54-BF-64-4C-91-A0,FB5962911689,192.168.0.404,1001,NTH,fra,TRUE,superadmin,now()
10079,Techno-235,54-BF-64-4C-90-CA,FB5962911690,192.168.0.405,1001,NTH,fra,TRUE,superadmin,now()
10080,Techno-245,54-BF-64-4C-8E-ED,FB5962911691,192.168.0.406,1001,NTH,fra,TRUE,superadmin,now()
10081,Techno-247,3C-2C-30-BA-A3-FF,FB5962911681,192.168.0.407,1001,NTH,fra,TRUE,superadmin,now()
10082,Techno-238,54-BF-64-4C-91-6B,FB5962911682,192.168.0.408,1001,NTH,fra,TRUE,superadmin,now()
10083,Techno-250,3C-2C-30-C8-30-57,FB5962911683,192.168.0.409,1001,NTH,fra,TRUE,superadmin,now()
10084,Dummy Machine,AF-BA-12-A0-6A-40,FB5962911684,192.168.0.410,1001,STH,fra,TRUE,superadmin,now()
10085,Dummy Machine,37-A2-E3-E0-A2-1B,FB5962911685,192.168.0.411,1001,STH,fra,TRUE,superadmin,now()
10086,Dummy Machine,C5-5B-D0-B7-F7-20,FB5962911686,192.168.0.412,1001,STH,fra,TRUE,superadmin,now()
10087,Dummy Machine,9C-1F-65-0A-CA-CA,FB5962911687,192.168.0.413,1001,STH,fra,TRUE,superadmin,now()
10088,Dummy Machine,DB-A7-DB-2A-17-5E,FB5962911688,192.168.0.414,1001,STH,fra,TRUE,superadmin,now()
10089,Dummy Machine,70-57-77-71-48-0A,FB5962911689,192.168.0.415,1001,STH,fra,TRUE,superadmin,now()
10090,Dummy Machine,D0-49-B1-38-CD-09,FB5962911690,192.168.0.416,1001,STH,fra,TRUE,superadmin,now()
10091,Dummy Machine,92-3A-A8-81-9D-80,FB5962911691,192.168.0.417,1001,STH,fra,TRUE,superadmin,now()
10092,Dummy Machine,50-19-82-36-28-FD,FB5962911681,192.168.0.418,1001,STH,fra,TRUE,superadmin,now()
10093,Dummy Machine,93-65-06-E9-82-32,FB5962911682,192.168.0.419,1001,STH,fra,TRUE,superadmin,now()
10094,Dummy Machine,AB-43-9C-4E-C5-75,FB5962911683,192.168.0.420,1001,STH,fra,TRUE,superadmin,now()
10095,Dummy Machine,7A-BA-2A-7B-DD-0E,FB5962911684,192.168.0.421,1001,STH,fra,TRUE,superadmin,now()
10096,Dummy Machine,3F-7C-1B-EB-62-FF,FB5962911685,192.168.0.422,1001,STH,fra,TRUE,superadmin,now()
10097,Dummy Machine,F3-DB-84-00-FB-A1,FB5962911686,192.168.0.423,1001,STH,fra,TRUE,superadmin,now()
10098,Dummy Machine,61-D3-FD-12-C9-ED,FB5962911687,192.168.0.424,1001,STH,fra,TRUE,superadmin,now()
10001,b2ml27198,8C-16-45-5A-5D-0D,NM5328114630,192.168.0.150,1001,NTH,ara,TRUE,superadmin,now()
10002,b2ml28041,8C-16-45-88-E1-0D,WY2132605316,192.168.0.133,1001,NTH,ara,TRUE,superadmin,now()
10003,b2ml13213,E8-6A-64-0F-F8-A1,CM6384145127,192.168.0.161,1001,NTH,ara,TRUE,superadmin,now()
10004,b2ml27211,8C-16-45-5A-62-41,NT894252578,192.168.0.259,1001,RSK,ara,TRUE,superadmin,now()
10005,a2ml30933,E8-6A-64-1D-75-E4,YM866672706,192.168.0.119,1001,CST,ara,TRUE,superadmin,now()
10006,a1ml29006,8C-16-45-FA-94-B7,WT6501645780,192.168.0.177,1001,ORT,ara,TRUE,superadmin,now()
10007,DESKTOP-Q5T0S4C,AC-E0-10-D5-E8-84,LK8186452621,192.168.0.227,1001,NTH,ara,TRUE,superadmin,now()
10008,Machine 8,E8-6A-64-1C-52-6E,NR3264783870,192.168.0.207,1001,STH,ara,TRUE,superadmin,now()
10009,Machine 9,48-51-B7-10-35-A6,RW437027336,192.168.0.220,1001,STH,ara,TRUE,superadmin,now()
10010,b2ml26381,8C-16-45-38-F3-F3,SI158158531,192.168.0.242,1001,STH,ara,TRUE,superadmin,now()
10011,Machine 11,D4-3D-7E-58-CC-45,XF3416823469,192.168.0.173,1001,STH,ara,TRUE,superadmin,now()
10012,b2ml27210,8C-16-45-5A-5D-96,BW4524978011,192.168.0.203,1001,STH,ara,TRUE,superadmin,now()
10013,b2ml27196,8C-16-45-5A-5D-8E,DB289579153,192.168.0.112,1001,MRS,ara,TRUE,superadmin,now()
10014,b2ml26342,8C-16-45-33-A5-5F,SI4597903231,192.168.0.178,1001,MRS,ara,TRUE,superadmin,now()
10015,Machine 15,3C-95-09-F9-EA-DF,TJ7809002958,192.168.0.267,1001,MRS,ara,TRUE,superadmin,now()
10016,b2ml28024,8C-16-45-88-E7-0B,JR6082789079,192.168.0.149,1001,MRS,ara,TRUE,superadmin,now()
10017,Machine 17,B4-69-21-5A-DB-C4,SA3722889241,192.168.0.127,1001,SOS,ara,TRUE,superadmin,now()
10018,b2ml30367,E8-6A-64-1D-48-B7,RR2683722548,192.168.0.248,1001,SOS,ara,TRUE,superadmin,now()
10019,b2ml27226,8C-16-45-59-69-09,PO6528391346,192.168.0.121,1001,SOS,ara,TRUE,superadmin,now()
10020,DESKTOP-DIP4206,54-8C-A0-99-06-47,FB5962911652,192.168.0.215,1001,SOS,ara,TRUE,superadmin,now()
10021,A2ML19525,F4-30-B9-D4-CD-6F,FB5962911653,192.168.0.874,1001,NTH,ara,TRUE,superadmin,now()
10022,Machine 22,E8-6A-64-1C-58-C2,FB5962911654,192.168.0.721,1001,NTH,ara,TRUE,superadmin,now()
10023,Machine 23,E4-A4-71-CE-BA-93,FB5962911655,192.168.0.841,1001,RSK,ara,TRUE,superadmin,now()
10024,b2ml24784,54-E1-AD-EA-30-C9,FB5962911656,192.168.0.186,1001,NTH,ara,TRUE,superadmin,now()
10025,Machine 25,98-E7-F4-2D-BB-80,FB5962911657,192.168.0.627,1001,ORT,ara,TRUE,superadmin,now()
10026,a2ml16049,58-20-B1-D6-C3-BE,FB5962911658,192.168.0.879,1001,NTH,ara,TRUE,superadmin,now()
10027,b2ml26373,8C-16-45-38-F0-25,FB5962911659,192.168.0.628,1001,STH,ara,TRUE,superadmin,now()
10028,Machine 28,6C-88-14-AC-EF-55,FB5962911661,192.168.0.306,1001,STH,ara,TRUE,superadmin,now()
10029,a2ml29334,3C-6A-A7-C0-DF-27,FB5962911662,192.168.0.355,1001,STH,ara,TRUE,superadmin,now()
10030,Machine 30,70-5A-0F-8C-01-39,FB5962911664,192.168.0.356,1001,NTH,ara,TRUE,superadmin,now()
10031,Machine 31,58-20-B1-DA-F3-FB,FB5962911663,192.168.0.357,1001,NTH,ara,TRUE,superadmin,now()
10032,A2ML29106,38-BA-F8-53-C7-8F,FB5962911665,192.168.0.358,1001,NTH,ara,TRUE,superadmin,now()
10033,A2ML23670,A8-1E-84-DB-EF-93,FB5962911666,192.168.0.359,1001,ORT,ara,TRUE,superadmin,now()
10034,A2ML26666,8C-16-45-50-CC-F6,FB5962911667,192.168.0.360,1001,ORT,ara,TRUE,superadmin,now()
10035,KRISH-DESKTOP,B8-AC-6F-DA-4C-5B,FB5962911668,192.168.0.361,1001,ORT,ara,TRUE,superadmin,now()
10036,A1ML28565,8C-16-45-BC-96-BF,FB5962911669,192.168.0.362,1001,ORT,ara,TRUE,superadmin,now()
10037,A2ML30638,E8-6A-64-1D-6D-F6,FB5962911670,192.168.0.363,1001,ORT,ara,TRUE,superadmin,now()
10038,A2ML16222,58-20-B1-D6-D3-06,FB5962911671,192.168.0.364,1001,ORT,ara,TRUE,superadmin,now()
10039,A4LNKML18485,70-5A-0F-8C-20-0D,FB5962911672,192.168.0.365,1001,ORT,ara,TRUE,superadmin,now()
10040,A2ML18870,70-5A-0F-8B-E3-62,FB5962911673,192.168.0.366,1001,ORT,ara,TRUE,superadmin,now()
10041,A2ML29516,8C-16-45-F3-3A-F8,FB5962911674,192.168.0.367,1001,ORT,ara,TRUE,superadmin,now()
10042,A2ML23749,A8-1E-84-DB-EE-30,FB5962911675,192.168.0.368,1001,ORT,ara,TRUE,superadmin,now()
10043,A2ML23822,A8-1E-84-DB-EF-73,FB5962911676,192.168.0.369,1001,ORT,ara,TRUE,superadmin,now()
10044,A2ML24830,54-E1-AD-CF-93-BE,FB5962911677,192.168.0.370,1001,ORT,ara,TRUE,superadmin,now()
10045,A2ML29178,3A-BA-F8-7D-60-C2,FB5962911678,192.168.0.371,1001,ORT,ara,TRUE,superadmin,now()
10046,A2ML26065,8C-16-45-34-8E-5D,FB5962911679,192.168.0.372,1001,ORT,ara,TRUE,superadmin,now()
10047,A2ML32512,00-FF-C7-C6-15-DF,FB5962911680,192.168.0.373,1001,ORT,ara,TRUE,superadmin,now()
10048,A2ML20659,98-E7-F4-EB-E7-80,FB5962911681,192.168.0.374,1001,ORT,ara,TRUE,superadmin,now()
10049,B2ML27973,8C-16-45-65-DD-40,FB5962911682,192.168.0.375,1001,ORT,ara,TRUE,superadmin,now()
10050,A2ML30641,8C-16-45-FA-99-6C,FB5962911683,192.168.0.376,1001,ORT,ara,TRUE,superadmin,now()
10051,TECHNO-236,D8-9C-67-57-8F-75,FB5962911684,192.168.0.377,1001,ORT,ara,TRUE,superadmin,now()
10052,A2ML29918,E8-6A-64-1C-52-98,FB5962911685,192.168.0.378,1001,ORT,ara,TRUE,superadmin,now()
10053,A2ML22793,40-B0-34-F1-5E-58,FB5962911686,192.168.0.379,1001,ORT,ara,TRUE,superadmin,now()
10054,A2ML30524,48-A4-72-9B-08-92,FB5962911687,192.168.0.380,1001,ORT,ara,TRUE,superadmin,now()
10055,b2ml25727,8C-16-45-1A-0F-62,FB5962911688,192.168.0.381,1001,NTH,ara,TRUE,superadmin,now()
10056,b2ml20071,98-E7-F4-30-16-5A,FB5962911689,192.168.0.382,1001,NTH,ara,TRUE,superadmin,now()
10057,A2ML29516,38-BA-F8-7D-67-89,FB5962911690,192.168.0.383,1001,NTH,ara,TRUE,superadmin,now()
10058,A2ML29424,8C-16-45-FA-95-5F,FB5962911691,192.168.0.384,1001,NTH,ara,TRUE,superadmin,now()
10059,DESKTOP-7P9OG73,C4-65-16-A6-9A-5D,FB5962911681,192.168.0.385,1001,STH,ara,TRUE,superadmin,now()
10060,DESKTOP-L1P84KT,C4-65-16-A6-9A-D6,FB5962911682,192.168.0.386,1001,STH,ara,TRUE,superadmin,now()
10061,DESKTOP-2MJPO3R,C4-65-16-A3-9B-92,FB5962911683,192.168.0.387,1001,STH,ara,TRUE,superadmin,now()
10062,DESKTOP-A2MM8AQ,B8-AC-6F-DA-4C-5B,FB5962911684,192.168.0.388,1001,STH,ara,TRUE,superadmin,now()
10063,Security-test3,00-0D-3A-F2-C6-FF,FB5962911685,192.168.0.389,1001,STH,ara,TRUE,superadmin,now()
10064,MOSIP-Security,00-0D-3A-F2-B4-8A,FB5962911686,192.168.0.390,1001,STH,ara,TRUE,superadmin,now()
10065,Techno-260,3C-18-A0-76-38-4F,FB5962911687,192.168.0.391,1001,STH,ara,TRUE,superadmin,now()
10066,MOSIP-Security2,00-0D-3A-F2-CB-29,FB5962911688,192.168.0.392,1001,STH,ara,TRUE,superadmin,now()
10067,b2md20452,D4-3D-7E-C0-8C-4A,FB5962911689,192.168.0.393,1001,STH,ara,TRUE,superadmin,now()
10068,DESKTOP-TB65MJM,34-17-EB-88-AB-37,FB5962911690,192.168.0.394,1001,STH,ara,TRUE,superadmin,now()
10069,A2ML19105,70-5A-0F-84-40-A2,FB5962911691,192.168.0.395,1001,STH,ara,TRUE,superadmin,now()
10070,A2ML28933,8C-16-45-FA-94-41,FB5962911681,192.168.0.396,1001,STH,ara,TRUE,superadmin,now()
10071,A2ML21970,C8-D3-FF-75-E1-8B,FB5962911682,192.168.0.397,1001,STH,ara,TRUE,superadmin,now()
10072,techno-244,54-BF-64-23-67-46,FB5962911683,192.168.0.398,1001,NTH,ara,TRUE,superadmin,now()
10073,Techno-197,28-F1-0E-47-FF-B9,FB5962911684,192.168.0.399,1001,NTH,ara,TRUE,superadmin,now()
10074,techno-236,3C-2C-30-B4-00-C0,FB5962911685,192.168.0.400,1001,NTH,ara,TRUE,superadmin,now()
10075,Techno-251,3C-2C-30-D1-E9-C4,FB5962911686,192.168.0.401,1001,NTH,ara,TRUE,superadmin,now()
10076,Techno-200,00-09-0F-FE-00-01,FB5962911687,192.168.0.402,1001,NTH,ara,TRUE,superadmin,now()
10077,Techno-252,0C-96-E6-40-76-9A,FB5962911688,192.168.0.403,1001,NTH,ara,TRUE,superadmin,now()
10078,Techno-242,54-BF-64-4C-91-A0,FB5962911689,192.168.0.404,1001,NTH,ara,TRUE,superadmin,now()
10079,Techno-235,54-BF-64-4C-90-CA,FB5962911690,192.168.0.405,1001,NTH,ara,TRUE,superadmin,now()
10080,Techno-245,54-BF-64-4C-8E-ED,FB5962911691,192.168.0.406,1001,NTH,ara,TRUE,superadmin,now()
10081,Techno-247,3C-2C-30-BA-A3-FF,FB5962911681,192.168.0.407,1001,NTH,ara,TRUE,superadmin,now()
10082,Techno-238,54-BF-64-4C-91-6B,FB5962911682,192.168.0.408,1001,NTH,ara,TRUE,superadmin,now()
10083,Techno-250,3C-2C-30-C8-30-57,FB5962911683,192.168.0.409,1001,NTH,ara,TRUE,superadmin,now()
10084,Dummy Machine,AF-BA-12-A0-6A-40,FB5962911684,192.168.0.410,1001,STH,ara,TRUE,superadmin,now()
10085,Dummy Machine,37-A2-E3-E0-A2-1B,FB5962911685,192.168.0.411,1001,STH,ara,TRUE,superadmin,now()
10086,Dummy Machine,C5-5B-D0-B7-F7-20,FB5962911686,192.168.0.412,1001,STH,ara,TRUE,superadmin,now()
10087,Dummy Machine,9C-1F-65-0A-CA-CA,FB5962911687,192.168.0.413,1001,STH,ara,TRUE,superadmin,now()
10088,Dummy Machine,DB-A7-DB-2A-17-5E,FB5962911688,192.168.0.414,1001,STH,ara,TRUE,superadmin,now()
10089,Dummy Machine,70-57-77-71-48-0A,FB5962911689,192.168.0.415,1001,STH,ara,TRUE,superadmin,now()
10090,Dummy Machine,D0-49-B1-38-CD-09,FB5962911690,192.168.0.416,1001,STH,ara,TRUE,superadmin,now()
10091,Dummy Machine,92-3A-A8-81-9D-80,FB5962911691,192.168.0.417,1001,STH,ara,TRUE,superadmin,now()
10092,Dummy Machine,50-19-82-36-28-FD,FB5962911681,192.168.0.418,1001,STH,ara,TRUE,superadmin,now()
10093,Dummy Machine,93-65-06-E9-82-32,FB5962911682,192.168.0.419,1001,STH,ara,TRUE,superadmin,now()
10094,Dummy Machine,AB-43-9C-4E-C5-75,FB5962911683,192.168.0.420,1001,STH,ara,TRUE,superadmin,now()
10095,Dummy Machine,7A-BA-2A-7B-DD-0E,FB5962911684,192.168.0.421,1001,STH,ara,TRUE,superadmin,now()
10096,Dummy Machine,3F-7C-1B-EB-62-FF,FB5962911685,192.168.0.422,1001,STH,ara,TRUE,superadmin,now()
10097,Dummy Machine,F3-DB-84-00-FB-A1,FB5962911686,192.168.0.423,1001,STH,ara,TRUE,superadmin,now()
10098,Dummy Machine,61-D3-FD-12-C9-ED,FB5962911687,192.168.0.424,1001,STH,ara,TRUE,superadmin,now()
