regcntr_id,usr_id,machine_id,lang_code,is_active,cr_by,cr_dtimes,eff_dtimes
10001,110001,10001,eng,TRUE,superadmin,now(),now()
10003,110002,10002,eng,TRUE,superadmin,now(),now()
10003,110003,10003,eng,TRUE,superadmin,now(),now()
10004,110004,10004,eng,TRUE,superadmin,now(),now()
10005,110005,10005,eng,TRUE,superadmin,now(),now()
10006,110006,10006,eng,TRUE,superadmin,now(),now()
10007,110007,10007,eng,TRUE,superadmin,now(),now()
10008,110008,10008,eng,TRUE,superadmin,now(),now()
10009,110009,10009,eng,TRUE,superadmin,now(),now()
10010,110010,10010,eng,TRUE,superadmin,now(),now()
10011,110011,10011,eng,TRUE,superadmin,now(),now()
10011,110012,10012,eng,TRUE,superadmin,now(),now()
10012,110013,10013,eng,TRUE,superadmin,now(),now()
10012,110014,10014,eng,TRUE,superadmin,now(),now()
10013,110015,10015,eng,TRUE,superadmin,now(),now()
10013,110016,10016,eng,TRUE,superadmin,now(),now()
10014,110017,10017,eng,TRUE,superadmin,now(),now()
10014,110018,10018,eng,TRUE,superadmin,now(),now()
10015,110019,10019,eng,TRUE,superadmin,now(),now()
10015,110020,10020,eng,TRUE,superadmin,now(),now()
10002,110021,10021,eng,TRUE,superadmin,now(),now()
10003,110022,10022,eng,TRUE,superadmin,now(),now()
10004,110023,10023,eng,TRUE,superadmin,now(),now()
10003,110024,10024,eng,TRUE,superadmin,now(),now()
10006,110025,10025,eng,TRUE,superadmin,now(),now()
10007,110026,10026,eng,TRUE,superadmin,now(),now()
10008,110027,10027,eng,TRUE,superadmin,now(),now()
10009,110028,10028,eng,TRUE,superadmin,now(),now()
10010,110029,10029,eng,TRUE,superadmin,now(),now()
10001,110030,10030,eng,TRUE,superadmin,now(),now()
10001,110031,10031,eng,TRUE,superadmin,now(),now()
10002,110032,10032,eng,TRUE,superadmin,now(),now()
10005,110033,10005,eng,TRUE,superadmin,now(),now()
10005,110034,10005,eng,TRUE,superadmin,now(),now()
10005,110035,10005,eng,TRUE,superadmin,now(),now()
10006,110037,10033,eng,TRUE,superadmin,now(),now()
10006,110038,10034,eng,TRUE,superadmin,now(),now()
10006,110036,10035,eng,TRUE,superadmin,now(),now()
10006,110039,10036,eng,TRUE,superadmin,now(),now()
10006,110040,10037,eng,TRUE,superadmin,now(),now()
10006,110041,10038,eng,TRUE,superadmin,now(),now()
10006,110042,10039,eng,TRUE,superadmin,now(),now()
10006,110043,10040,eng,TRUE,superadmin,now(),now()
10006,110044,10041,eng,TRUE,superadmin,now(),now()
10006,110045,10042,eng,TRUE,superadmin,now(),now()
10006,110046,10043,eng,TRUE,superadmin,now(),now()
10006,110047,10044,eng,TRUE,superadmin,now(),now()
10006,110048,10045,eng,TRUE,superadmin,now(),now()
10006,110049,10046,eng,TRUE,superadmin,now(),now()
10006,110050,10047,eng,TRUE,superadmin,now(),now()
10006,110051,10048,eng,TRUE,superadmin,now(),now()
10006,110052,10049,eng,TRUE,superadmin,now(),now()
10006,110053,10050,eng,TRUE,superadmin,now(),now()
10006,110054,10051,eng,TRUE,superadmin,now(),now()
10006,110055,10052,eng,TRUE,superadmin,now(),now()
10006,110056,10053,eng,TRUE,superadmin,now(),now()
10006,110057,10054,eng,TRUE,superadmin,now(),now()
10007,110058,10055,eng,TRUE,superadmin,now(),now()
10007,110059,10056,eng,TRUE,superadmin,now(),now()
10007,110060,10057,eng,TRUE,superadmin,now(),now()
10007,110061,10058,eng,TRUE,superadmin,now(),now()
10008,110062,10059,eng,TRUE,superadmin,now(),now()
10008,110063,10060,eng,TRUE,superadmin,now(),now()
10008,110064,10061,eng,TRUE,superadmin,now(),now()
10008,110065,10062,eng,TRUE,superadmin,now(),now()
10008,110066,10063,eng,TRUE,superadmin,now(),now()
10008,110067,10064,eng,TRUE,superadmin,now(),now()
10008,110068,10065,eng,TRUE,superadmin,now(),now()
10008,110069,10066,eng,TRUE,superadmin,now(),now()
10008,110070,10067,eng,TRUE,superadmin,now(),now()
10008,110071,10068,eng,TRUE,superadmin,now(),now()
10008,110072,10069,eng,TRUE,superadmin,now(),now()
10008,110073,10070,eng,TRUE,superadmin,now(),now()
10008,110074,10071,eng,TRUE,superadmin,now(),now()
33333,110075,10072,eng,TRUE,superadmin,now(),now()
33333,110076,10073,eng,TRUE,superadmin,now(),now()
33333,110077,10074,eng,TRUE,superadmin,now(),now()
33333,110078,10075,eng,TRUE,superadmin,now(),now()
33333,110079,10076,eng,TRUE,superadmin,now(),now()
33333,110080,10077,eng,TRUE,superadmin,now(),now()
33333,110081,10078,eng,TRUE,superadmin,now(),now()
33333,110082,10079,eng,TRUE,superadmin,now(),now()
33333,110083,10080,eng,TRUE,superadmin,now(),now()
33333,110084,10081,eng,TRUE,superadmin,now(),now()
33333,110085,10082,eng,TRUE,superadmin,now(),now()
33333,110086,10083,eng,TRUE,superadmin,now(),now()
10008,110087,10084,eng,TRUE,superadmin,now(),now()
10008,110088,10085,eng,TRUE,superadmin,now(),now()
10008,110089,10086,eng,TRUE,superadmin,now(),now()
10008,110090,10087,eng,TRUE,superadmin,now(),now()
10008,110091,10088,eng,TRUE,superadmin,now(),now()
10008,110092,10089,eng,TRUE,superadmin,now(),now()
10008,110093,10090,eng,TRUE,superadmin,now(),now()
10008,110094,10091,eng,TRUE,superadmin,now(),now()
10008,110095,10092,eng,TRUE,superadmin,now(),now()
10008,110096,10093,eng,TRUE,superadmin,now(),now()
10008,110097,10094,eng,TRUE,superadmin,now(),now()
10008,110098,10095,eng,TRUE,superadmin,now(),now()
10008,110099,10096,eng,TRUE,superadmin,now(),now()
10008,110100,10097,eng,TRUE,superadmin,now(),now()
10008,110101,10098,eng,TRUE,superadmin,now(),now()
